room_id,booking_date,hour,is_available,available_slots,room_name,id,business_name,total_capacity,scrape_timestamp,booked_capacity
FSCH1,2025-01-01,11:00:00,true,7,Front Street Casino Heist,fsch1_20250101_110000,The Exit Games,7,2025-01-01T10:30:00,0
FSCH1,2025-01-01,12:45:00,true,6,Front Street Casino Heist,fsch1_20250101_124500,The Exit Games,7,2025-01-01T10:30:00,1
FSCH1,2025-01-01,14:30:00,false,0,Front Street Casino Heist,fsch1_20250101_143000,The Exit Games,7,2025-01-01T10:30:00,7
FSCH1,2025-01-01,16:15:00,true,2,Front Street Casino Heist,fsch1_20250101_161500,The Exit Games,7,2025-01-01T10:30:00,5
FSCH1,2025-01-01,18:00:00,false,0,Front Street Casino Heist,fsch1_20250101_180000,The Exit Games,7,2025-01-01T10:30:00,7
FSCH1,2025-01-01,19:45:00,false,0,Front Street Casino Heist,fsch1_20250101_194500,The Exit Games,7,2025-01-01T10:30:00,7
FSCH1,2025-01-01,21:30:00,false,0,Front Street Casino Heist,fsch1_20250101_213000,The Exit Games,7,2025-01-01T10:30:00,7
DGA2,2025-01-01,11:30:00,false,0,Dog Gone Alley,dga2_20250101_113000,The Exit Games,5,2025-01-01T10:30:00,5
DGA2,2025-01-01,13:00:00,false,0,Dog Gone Alley,dga2_20250101_130000,The Exit Games,5,2025-01-01T10:30:00,5
DGA2,2025-01-01,14:30:00,false,0,Dog Gone Alley,dga2_20250101_143000,The Exit Games,5,2025-01-01T10:30:00,5
DGA2,2025-01-01,16:00:00,false,0,Dog Gone Alley,dga2_20250101_160000,The Exit Games,5,2025-01-01T10:30:00,5
DGA2,2025-01-01,17:30:00,false,0,Dog Gone Alley,dga2_20250101_173000,The Exit Games,5,2025-01-01T10:30:00,5
DGA2,2025-01-01,19:00:00,false,0,Dog Gone Alley,dga2_20250101_190000,The Exit Games,5,2025-01-01T10:30:00,5
